Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count


4,12,1035445,0.001035445,18
5,20,107478,1.07478E-4,30
6,30,111356,1.11356E-4,29
7,42,114293,1.14293E-4,55
8,56,152950,1.5295E-4,91
9,72,118563,1.18563E-4,65
10,90,114887,1.14887E-4,66
11,110,157135,1.57135E-4,106
12,132,253780,2.5378E-4,144
13,156,262609,2.62609E-4,204
14,182,154790,1.5479E-4,151
15,210,197243,1.97243E-4,233
16,240,208480,2.0848E-4,241
17,272,220981,2.20981E-4,330
18,306,144411,1.44411E-4,207
19,342,137668,1.37668E-4,293
20,380,131214,1.31214E-4,199
21,420,188832,1.88832E-4,356
22,462,173040,1.7304E-4,363
23,506,461606,4.61606E-4,272
24,552,201302,2.01302E-4,519
25,600,224572,2.24572E-4,717
26,650,226894,2.26894E-4,587
27,702,347790,3.4779E-4,874
28,756,277668,2.77668E-4,468
29,812,409565,4.09565E-4,1200
30,870,385868,3.85868E-4,1168
31,930,303224,3.03224E-4,1031
32,992,271620,2.7162E-4,796
33,1056,649141,6.49141E-4,1282
34,1122,317416,3.17416E-4,894
35,1190,303029,3.03029E-4,761
36,1260,301654,3.01654E-4,897
37,1332,468429,4.68429E-4,1173
38,1406,392720,3.9272E-4,1074
39,1482,468894,4.68894E-4,1471
40,1560,449906,4.49906E-4,1169
41,1640,664294,6.64294E-4,2152
42,1722,501875,5.01875E-4,2057
43,1806,281425,2.81425E-4,1151
44,1892,466171,4.66171E-4,1391
45,1980,680255,6.80255E-4,2324
46,2070,497312,4.97312E-4,1767
47,2162,349130,3.4913E-4,2230
48,2256,460780,4.6078E-4,2098
49,2352,427619,4.27619E-4,2815
50,2450,338652,3.38652E-4,1584
51,2550,472987,4.72987E-4,2426
52,2652,3362547,0.003362547,2912
53,2756,454571,4.54571E-4,3725
54,2862,449027,4.49027E-4,2559
55,2970,326570,3.2657E-4,3029
56,3080,490243,4.90243E-4,2659
57,3192,624139,6.24139E-4,2555
58,3306,661316,6.61316E-4,3235
59,3422,428917,4.28917E-4,3762
60,3540,668525,6.68525E-4,4077
61,3660,425120,4.2512E-4,3743
62,3782,499889,4.99889E-4,3791
63,3906,393237,3.93237E-4,3160
64,4032,470172,4.70172E-4,3542
65,4160,1481050,0.00148105,4220
66,4290,473870,4.7387E-4,4043
67,4422,599906,5.99906E-4,3696
68,4556,843751,8.43751E-4,6021
69,4692,888515,8.88515E-4,5010
70,4830,662157,6.62157E-4,4900
71,4970,708283,7.08283E-4,6278
72,5112,708033,7.08033E-4,5397
73,5256,710299,7.10299E-4,4397
74,5402,878295,8.78295E-4,5332
75,5550,638422,6.38422E-4,2852
76,5700,954737,9.54737E-4,5269
77,5852,821933,8.21933E-4,5843
78,6006,800159,8.00159E-4,5123
79,6162,940712,9.40712E-4,6217
80,6320,975196,9.75196E-4,6625
81,6480,985177,9.85177E-4,6963
82,6642,1051069,0.001051069,7306
83,6806,775103,7.75103E-4,6703
84,6972,808655,8.08655E-4,6090
85,7140,1279167,0.001279167,8937
86,7310,805772,8.05772E-4,8396
87,7482,881760,8.8176E-4,6867
88,7656,989153,9.89153E-4,9598
89,7832,1026256,0.001026256,8021
