Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count
4,4,964009,9.64009E-4,11
5,5,33541,3.3541E-5,14
6,6,34491,3.4491E-5,17
7,7,48608,4.8608E-5,20
8,8,64364,6.4364E-5,23
9,9,57129,5.7129E-5,26
10,10,57001,5.7001E-5,29
11,11,60620,6.062E-5,32
12,12,66630,6.663E-5,35
13,13,71463,7.1463E-5,38
14,14,54421,5.4421E-5,41
15,15,53036,5.3036E-5,44
16,16,58389,5.8389E-5,47
17,17,51720,5.172E-5,50
18,18,52015,5.2015E-5,53
19,19,63632,6.3632E-5,56
20,20,54879,5.4879E-5,59
21,21,63991,6.3991E-5,62
22,22,46819,4.6819E-5,65
23,23,46606,4.6606E-5,68
24,24,48649,4.8649E-5,71
25,25,45345,4.5345E-5,74
26,26,61835,6.1835E-5,77
27,27,54405,5.4405E-5,80
28,28,50726,5.0726E-5,83
29,29,47380,4.738E-5,86
30,30,56193,5.6193E-5,89
31,31,51278,5.1278E-5,92
32,32,70016,7.0016E-5,95
33,33,63802,6.3802E-5,98
34,34,46705,4.6705E-5,101
35,35,33008,3.3008E-5,104
36,36,38046,3.8046E-5,107
37,37,32837,3.2837E-5,110
38,38,32533,3.2533E-5,113
39,39,34843,3.4843E-5,116
40,40,30975,3.0975E-5,119
41,41,36161,3.6161E-5,122
42,42,37021,3.7021E-5,125
43,43,35620,3.562E-5,128
44,44,39385,3.9385E-5,131
45,45,39871,3.9871E-5,134
46,46,46883,4.6883E-5,137
47,47,37515,3.7515E-5,140
48,48,45855,4.5855E-5,143
49,49,46267,4.6267E-5,146
50,50,60119,6.0119E-5,149
51,51,39807,3.9807E-5,152
52,52,39274,3.9274E-5,155
53,53,38723,3.8723E-5,158
54,54,78851,7.8851E-5,161
55,55,51142,5.1142E-5,164
56,56,58710,5.871E-5,167
57,57,64961,6.4961E-5,170
58,58,58217,5.8217E-5,173
59,59,118225,1.18225E-4,176
60,60,1306503,0.001306503,179
61,61,61655,6.1655E-5,182
62,62,51256,5.1256E-5,185
63,63,49135,4.9135E-5,188
64,64,87425,8.7425E-5,191
65,65,53616,5.3616E-5,194
66,66,54158,5.4158E-5,197
67,67,52034,5.2034E-5,200
68,68,56419,5.6419E-5,203
69,69,52567,5.2567E-5,206
70,70,59941,5.9941E-5,209
71,71,64928,6.4928E-5,212
72,72,57335,5.7335E-5,215
73,73,45450,4.545E-5,218
74,74,53932,5.3932E-5,221
75,75,76321,7.6321E-5,224
76,76,47151,4.7151E-5,227
77,77,58977,5.8977E-5,230
78,78,53827,5.3827E-5,233
79,79,58251,5.8251E-5,236
80,80,56221,5.6221E-5,239
81,81,53653,5.3653E-5,242
82,82,53828,5.3828E-5,245
83,83,57366,5.7366E-5,248
84,84,54334,5.4334E-5,251
85,85,59058,5.9058E-5,254
86,86,62717,6.2717E-5,257
87,87,74795,7.4795E-5,260
88,88,78538,7.8538E-5,263
89,89,59950,5.995E-5,266
90,90,61122,6.1122E-5,269
91,91,81366,8.1366E-5,272
92,92,88251,8.8251E-5,275
93,93,101159,1.01159E-4,278
94,94,80811,8.0811E-5,281
95,95,83713,8.3713E-5,284
96,96,123809,1.23809E-4,287
97,97,79322,7.9322E-5,290
98,98,80990,8.099E-5,293
99,99,79558,7.9558E-5,296
100,100,81597,8.1597E-5,299
101,101,106693,1.06693E-4,302
102,102,74925,7.4925E-5,305
103,103,115389,1.15389E-4,308
104,104,102920,1.0292E-4,311
105,105,342907,3.42907E-4,314
106,106,134774,1.34774E-4,317
107,107,118716,1.18716E-4,320
108,108,68786,6.8786E-5,323
109,109,47839,4.7839E-5,326
110,110,48302,4.8302E-5,329
111,111,56282,5.6282E-5,332
112,112,50067,5.0067E-5,335
113,113,65983,6.5983E-5,338
114,114,55702,5.5702E-5,341
115,115,1640349,0.001640349,344
116,116,54157,5.4157E-5,347
117,117,72098,7.2098E-5,350
118,118,49899,4.9899E-5,353
119,119,55753,5.5753E-5,356
120,120,3386238,0.003386238,359
121,121,50772,5.0772E-5,362
122,122,50770,5.077E-5,365
123,123,1648129,0.001648129,368
124,124,69327,6.9327E-5,371
125,125,56548,5.6548E-5,374
126,126,50931,5.0931E-5,377
127,127,92145,9.2145E-5,380
128,128,67300,6.73E-5,383
129,129,170000,1.7E-4,386
130,130,93382,9.3382E-5,389
131,131,81557,8.1557E-5,392
132,132,49770,4.977E-5,395
133,133,65856,6.5856E-5,398
134,134,56188,5.6188E-5,401
135,135,55060,5.506E-5,404
136,136,58912,5.8912E-5,407
137,137,53994,5.3994E-5,410
138,138,57292,5.7292E-5,413
139,139,56230,5.623E-5,416
140,140,60774,6.0774E-5,419
141,141,55366,5.5366E-5,422
142,142,50255,5.0255E-5,425
143,143,54365,5.4365E-5,428
144,144,48650,4.865E-5,431
145,145,51090,5.109E-5,434
146,146,59041,5.9041E-5,437
147,147,56616,5.6616E-5,440
148,148,55505,5.5505E-5,443
149,149,59764,5.9764E-5,446
150,150,56503,5.6503E-5,449
151,151,87683,8.7683E-5,452
152,152,67919,6.7919E-5,455
153,153,64287,6.4287E-5,458
154,154,67105,6.7105E-5,461
155,155,60490,6.049E-5,464
156,156,60744,6.0744E-5,467
157,157,62671,6.2671E-5,470
158,158,61426,6.1426E-5,473
159,159,60460,6.046E-5,476
160,160,58569,5.8569E-5,479
161,161,68242,6.8242E-5,482
162,162,61481,6.1481E-5,485
163,163,63765,6.3765E-5,488
164,164,61514,6.1514E-5,491
165,165,61164,6.1164E-5,494
166,166,80125,8.0125E-5,497
167,167,134774,1.34774E-4,500
168,168,64290,6.429E-5,503
169,169,79761,7.9761E-5,506
170,170,65585,6.5585E-5,509
171,171,60266,6.0266E-5,512
172,172,59824,5.9824E-5,515
173,173,60065,6.0065E-5,518
174,174,57941,5.7941E-5,521
175,175,55143,5.5143E-5,524
176,176,61788,6.1788E-5,527
177,177,58670,5.867E-5,530
178,178,58397,5.8397E-5,533
179,179,56885,5.6885E-5,536
180,180,65112,6.5112E-5,539
181,181,62603,6.2603E-5,542
182,182,62612,6.2612E-5,545
183,183,58924,5.8924E-5,548
184,184,64045,6.4045E-5,551
185,185,72149,7.2149E-5,554
186,186,63708,6.3708E-5,557
187,187,63404,6.3404E-5,560
188,188,74499,7.4499E-5,563
189,189,69566,6.9566E-5,566
190,190,82950,8.295E-5,569
191,191,65037,6.5037E-5,572
192,192,63693,6.3693E-5,575
193,193,74387,7.4387E-5,578
194,194,67299,6.7299E-5,581
195,195,68480,6.848E-5,584
196,196,63470,6.347E-5,587
197,197,80760,8.076E-5,590
198,198,66711,6.6711E-5,593
199,199,73460,7.346E-5,596
200,200,71650,7.165E-5,599
201,201,76662,7.6662E-5,602
202,202,69025,6.9025E-5,605
203,203,71613,7.1613E-5,608
204,204,78466,7.8466E-5,611
205,205,69643,6.9643E-5,614
206,206,73443,7.3443E-5,617
207,207,70307,7.0307E-5,620
208,208,78553,7.8553E-5,623
209,209,133849,1.33849E-4,626
210,210,86689,8.6689E-5,629
211,211,85150,8.515E-5,632
212,212,74037,7.4037E-5,635
213,213,75273,7.5273E-5,638
214,214,78916,7.8916E-5,641
215,215,70280,7.028E-5,644
216,216,70352,7.0352E-5,647
217,217,77659,7.7659E-5,650
218,218,69816,6.9816E-5,653
219,219,80340,8.034E-5,656
220,220,75097,7.5097E-5,659
221,221,90101,9.0101E-5,662
222,222,76105,7.6105E-5,665
223,223,71908,7.1908E-5,668
224,224,73422,7.3422E-5,671
225,225,76080,7.608E-5,674
226,226,108861,1.08861E-4,677
227,227,75362,7.5362E-5,680
228,228,98498,9.8498E-5,683
229,229,72378,7.2378E-5,686
230,230,77794,7.7794E-5,689
231,231,78183,7.8183E-5,692
232,232,75091,7.5091E-5,695
233,233,77860,7.786E-5,698
234,234,79045,7.9045E-5,701
235,235,97359,9.7359E-5,704
236,236,92070,9.207E-5,707
237,237,89893,8.9893E-5,710
238,238,108067,1.08067E-4,713
239,239,94597,9.4597E-5,716
240,240,92783,9.2783E-5,719
241,241,91322,9.1322E-5,722
242,242,95680,9.568E-5,725
243,243,94311,9.4311E-5,728
244,244,91754,9.1754E-5,731
245,245,158958,1.58958E-4,734
246,246,122098,1.22098E-4,737
247,247,54347,5.4347E-5,740
248,248,51924,5.1924E-5,743
249,249,54853,5.4853E-5,746
250,250,54608,5.4608E-5,749
251,251,53611,5.3611E-5,752
252,252,50725,5.0725E-5,755
253,253,52966,5.2966E-5,758
254,254,49112,4.9112E-5,761
255,255,49218,4.9218E-5,764
256,256,51760,5.176E-5,767
257,257,48222,4.8222E-5,770
258,258,56365,5.6365E-5,773
259,259,56453,5.6453E-5,776
260,260,53500,5.35E-5,779
261,261,55867,5.5867E-5,782
262,262,56817,5.6817E-5,785
263,263,56866,5.6866E-5,788
264,264,58864,5.8864E-5,791
265,265,59608,5.9608E-5,794
266,266,57733,5.7733E-5,797
267,267,59903,5.9903E-5,800
268,268,64367,6.4367E-5,803
269,269,54865,5.4865E-5,806
270,270,58125,5.8125E-5,809
271,271,60282,6.0282E-5,812
272,272,59081,5.9081E-5,815
273,273,61166,6.1166E-5,818
274,274,57867,5.7867E-5,821
275,275,62056,6.2056E-5,824
276,276,60908,6.0908E-5,827
277,277,61711,6.1711E-5,830
278,278,60010,6.001E-5,833
279,279,61465,6.1465E-5,836
280,280,63183,6.3183E-5,839
281,281,60940,6.094E-5,842
282,282,61171,6.1171E-5,845
283,283,61825,6.1825E-5,848
284,284,61490,6.149E-5,851
285,285,55519,5.5519E-5,854
286,286,62660,6.266E-5,857
287,287,63612,6.3612E-5,860
288,288,65286,6.5286E-5,863
289,289,64538,6.4538E-5,866
290,290,62555,6.2555E-5,869
291,291,65504,6.5504E-5,872
292,292,62547,6.2547E-5,875
293,293,64357,6.4357E-5,878
294,294,66448,6.6448E-5,881
295,295,57014,5.7014E-5,884
296,296,66284,6.6284E-5,887
297,297,65002,6.5002E-5,890
298,298,65635,6.5635E-5,893
299,299,66166,6.6166E-5,896
300,300,65580,6.558E-5,899
