Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count

4,6,1095854,0.001095854,11
5,10,50537,5.0537E-5,14
6,15,74990,7.499E-5,27
7,21,89559,8.9559E-5,29
8,28,141216,1.41216E-4,41
9,36,136221,1.36221E-4,50
10,45,154170,1.5417E-4,72
11,55,128617,1.28617E-4,92
12,66,491180,4.9118E-4,144
13,78,178949,1.78949E-4,115
14,91,118902,1.18902E-4,115
15,105,176044,1.76044E-4,208
16,120,189317,1.89317E-4,183
17,136,162690,1.6269E-4,184
18,153,292905,2.92905E-4,380
19,171,180083,1.80083E-4,151
20,190,179310,1.7931E-4,279
21,210,122838,1.22838E-4,241
22,231,110830,1.1083E-4,288
23,253,168538,1.68538E-4,634
24,276,140183,1.40183E-4,345
25,300,142930,1.4293E-4,347
26,325,146546,1.46546E-4,314
27,351,199233,1.99233E-4,480
28,378,148882,1.48882E-4,362
29,406,224682,2.24682E-4,691
30,435,234533,2.34533E-4,567
31,465,217004,2.17004E-4,382
32,496,187864,1.87864E-4,448
33,528,220495,2.20495E-4,501
34,561,238081,2.38081E-4,507
35,595,305405,3.05405E-4,784
36,630,277991,2.77991E-4,632
37,666,311712,3.11712E-4,1031
38,703,316637,3.16637E-4,857
39,741,276619,2.76619E-4,932
40,780,341680,3.4168E-4,1177
41,820,380193,3.80193E-4,1351
42,861,333508,3.33508E-4,1196
43,903,434143,4.34143E-4,1152
44,946,447216,4.47216E-4,919
45,990,433407,4.33407E-4,1507
46,1035,308968,3.08968E-4,1316
47,1081,366689,3.66689E-4,1212
48,1128,223629,2.23629E-4,1422
49,1176,271800,2.718E-4,1512
50,1225,319755,3.19755E-4,2490
51,1275,241513,2.41513E-4,1365
52,1326,250975,2.50975E-4,1708
53,1378,249877,2.49877E-4,1449
54,1431,369482,3.69482E-4,2474
55,1485,395565,3.95565E-4,2930
56,1540,270449,2.70449E-4,1733
57,1596,419617,4.19617E-4,3002
58,1653,300130,3.0013E-4,1583
59,1711,313101,3.13101E-4,1805
60,1770,301482,3.01482E-4,2480
61,1830,294379,2.94379E-4,1995
62,1891,241718,2.41718E-4,1840
63,1953,308591,3.08591E-4,2567
64,2016,820258,8.20258E-4,2770
65,2080,344018,3.44018E-4,2929
66,2145,269927,2.69927E-4,2455
67,2211,1769966,0.001769966,2904
68,2278,458476,4.58476E-4,3324
69,2346,384430,3.8443E-4,2452
70,2415,373543,3.73543E-4,3221
71,2485,410304,4.10304E-4,2725
72,2556,363183,3.63183E-4,3046
73,2628,533851,5.33851E-4,4903
74,2701,385060,3.8506E-4,3128
75,2775,409084,4.09084E-4,2307
76,2850,594981,5.94981E-4,4281
77,2926,526194,5.26194E-4,3599
78,3003,501791,5.01791E-4,3300
79,3081,439437,4.39437E-4,3157
80,3160,603385,6.03385E-4,3839
81,3240,470007,4.70007E-4,3166
82,3321,662813,6.62813E-4,4070
83,3403,574867,5.74867E-4,4506
84,3486,639255,6.39255E-4,3342
85,3570,573409,5.73409E-4,3974
86,3655,651524,6.51524E-4,4826
87,3741,530016,5.30016E-4,3000
88,3828,625780,6.2578E-4,4907
89,3916,768763,7.68763E-4,5877
90,4005,677011,6.77011E-4,5535
91,4095,635992,6.35992E-4,6416
92,4186,473078,4.73078E-4,4763
93,4278,513580,5.1358E-4,4997
94,4371,558476,5.58476E-4,5248
95,4465,702041,7.02041E-4,4868
96,4560,725716,7.25716E-4,5239
97,4656,812237,8.12237E-4,6442
98,4753,736566,7.36566E-4,6954
99,4851,675828,6.75828E-4,5405
100,4950,709181,7.09181E-4,5893
101,5050,804988,8.04988E-4,5763
102,5151,828094,8.28094E-4,5507
103,5253,740073,7.40073E-4,6355
104,5356,771062,7.71062E-4,7041
105,5460,582269,5.82269E-4,5328
106,5565,639264,6.39264E-4,6395
107,5671,749217,7.49217E-4,7177
108,5778,752195,7.52195E-4,7007
109,5886,887777,8.87777E-4,8019
110,5995,885827,8.85827E-4,7866
111,6105,700313,7.00313E-4,6362
112,6216,847721,8.47721E-4,8352
113,6328,787208,7.87208E-4,8455
114,6441,949743,9.49743E-4,9743
115,6555,881880,8.8188E-4,9205
116,6670,922049,9.22049E-4,9561
117,6786,779559,7.79559E-4,7545
118,6903,673903,6.73903E-4,8118
119,7021,1053834,0.001053834,10030
120,7140,573886,5.73886E-4,7664
121,7260,822382,8.22382E-4,7296
122,7381,941004,9.41004E-4,10138
123,7503,1168107,0.001168107,12306
124,7626,905904,9.05904E-4,9208
125,7750,1130984,0.001130984,10982
126,7875,827411,8.27411E-4,8981
127,8001,904868,9.04868E-4,10303
128,8128,924974,9.24974E-4,11842
129,8256,2809615,0.002809615,10246
130,8385,1930657,0.001930657,11276
131,8515,2031813,0.002031813,10490
132,8646,2262795,0.002262795,12005
133,8778,1799453,0.001799453,11279
134,8911,2910509,0.002910509,13071
135,9045,2572758,0.002572758,13448
136,9180,2020129,0.002020129,10429
137,9316,3016407,0.003016407,12576
138,9453,1714587,0.001714587,13253
139,9591,1409935,0.001409935,11519
140,9730,1821283,0.001821283,15538
141,9870,1934236,0.001934236,16185
142,10011,1526260,0.00152626,12904
143,10153,1048004,0.001048004,11362
144,10296,2025381,0.002025381,18559
145,10440,2236655,0.002236655,16557
146,10585,1517960,0.00151796,15114
147,10731,1277306,0.001277306,12431
148,10878,1499333,0.001499333,13810
149,11026,1554424,0.001554424,14281
150,11175,1912379,0.001912379,13702
151,11325,1257148,0.001257148,12099
152,11476,1811383,0.001811383,17257
153,11628,2222744,0.002222744,17162
154,11781,1551865,0.001551865,17621
155,11935,1861305,0.001861305,17744
156,12090,1890307,0.001890307,15038
157,12246,1717828,0.001717828,16032
158,12403,2014799,0.002014799,15218
159,12561,1690548,0.001690548,17114
160,12720,1699876,0.001699876,13847
161,12880,1978006,0.001978006,16719
162,13041,1714886,0.001714886,15490
163,13203,1782710,0.00178271,15672
164,13366,1761143,0.001761143,15919
165,13530,1856241,0.001856241,16966
166,13695,2131172,0.002131172,17210
167,13861,1585809,0.001585809,16754
168,14028,1926977,0.001926977,17770
169,14196,2004984,0.002004984,20139
170,14365,1977179,0.001977179,17826
171,14535,1784065,0.001784065,17596
172,14706,2001979,0.002001979,17581
173,14878,2012488,0.002012488,18442
174,15051,2488490,0.00248849,21040
175,15225,2342718,0.002342718,19242
176,15400,2205006,0.002205006,21662
177,15576,2544105,0.002544105,23407
178,15753,2467740,0.00246774,18983
179,15931,2915314,0.002915314,23253
180,16110,2493373,0.002493373,18106
181,16290,2951756,0.002951756,22516
182,16471,2710701,0.002710701,26298
183,16653,3946736,0.003946736,27287
184,16836,2737949,0.002737949,22198
185,17020,2240559,0.002240559,21337
186,17205,3660943,0.003660943,30272
187,17391,2778473,0.002778473,27986
188,17578,3101601,0.003101601,22619
189,17766,2567253,0.002567253,21615
190,17955,2706207,0.002706207,27443
191,18145,3400475,0.003400475,23802
192,18336,2806173,0.002806173,22424
193,18528,3652551,0.003652551,24422
194,18721,3970896,0.003970896,28640
195,18915,3104769,0.003104769,26103
196,19110,3924200,0.0039242,31096
197,19306,4135229,0.004135229,27202
198,19503,3616650,0.00361665,27353
199,19701,3362172,0.003362172,27727
200,19900,2946051,0.002946051,25402
201,20100,2640024,0.002640024,27068
202,20301,3094335,0.003094335,24094
203,20503,3535066,0.003535066,25243
204,20706,4050191,0.004050191,25600
205,20910,3009421,0.003009421,28860
206,21115,4222319,0.004222319,28798
207,21321,3758260,0.00375826,34153
208,21528,5521759,0.005521759,31588
209,21736,3678410,0.00367841,32404
210,21945,4007173,0.004007173,34956
211,22155,4036956,0.004036956,32621
