
4,3,621083,6.21083E-4
5,4,15166,1.5166E-5
4,12,754500,7.545E-4,39
5,20,43500,4.35E-5,114
4,12,922167,9.22167E-4,52
5,20,45209,4.5209E-5,125
6,30,48584,4.8584E-5,216
7,42,94125,9.4125E-5,357
8,56,73292,7.3292E-5,573
9,72,61417,6.1417E-5,776
10,90,108083,1.08083E-4,1168
11,110,87292,8.7292E-5,1521
12,132,139125,1.39125E-4,2038
13,156,127667,1.27667E-4,2589
14,182,125250,1.2525E-4,3220
15,210,121084,1.21084E-4,3909
16,240,168709,1.68709E-4,4957
17,272,132500,1.325E-4,5830
18,306,234167,2.34167E-4,7435
19,342,170834,1.70834E-4,9352
20,380,117250,1.1725E-4,10913
21,420,174833,1.74833E-4,13190
22,462,182791,1.82791E-4,16283
23,506,122666,1.22666E-4,18180
24,552,131292,1.31292E-4,20656
25,600,187541,1.87541E-4,24041
26,650,201917,2.01917E-4,28295
27,702,178292,1.78292E-4,31984
28,756,149458,1.49458E-4,34981
29,812,173167,1.73167E-4,38296
30,870,214458,2.14458E-4,42943
31,930,195417,1.95417E-4,46726
32,992,192166,1.92166E-4,50744
33,1056,640458,6.40458E-4,54453
34,1122,376542,3.76542E-4,60392
35,1190,271750,2.7175E-4,65743
36,1260,326000,3.26E-4,73017
37,1332,300334,3.00334E-4,79980
38,1406,296709,2.96709E-4,87562
39,1482,277500,2.775E-4,93661
40,1560,321084,3.21084E-4,101048
41,1640,385375,3.85375E-4,110357
42,1722,281209,2.81209E-4,118685
43,1806,174125,1.74125E-4,127584
44,1892,170417,1.70417E-4,135225
45,1980,218333,2.18333E-4,145172
46,2070,265375,2.65375E-4,157668
47,2162,210958,2.10958E-4,167277
48,2256,203125,2.03125E-4,177731
49,2352,223125,2.23125E-4,188236
50,2450,1104500,0.0011045,199724
51,2550,269208,2.69208E-4,214293
52,2652,254583,2.54583E-4,226385
53,2756,202834,2.02834E-4,237204
54,2862,254083,2.54083E-4,251569
55,2970,330917,3.30917E-4,270084
56,3080,250000,2.5E-4,284040
57,3192,327125,3.27125E-4,300801
58,3306,331292,3.31292E-4,318636
59,3422,295375,2.95375E-4,333593
60,3540,310541,3.10541E-4,350470
61,3660,402542,4.02542E-4,372461
62,3782,441292,4.41292E-4,397737
63,3906,439250,4.3925E-4,420230
64,4032,394250,3.9425E-4,441047
65,4160,478584,4.78584E-4,465722
66,4290,418125,4.18125E-4,485682
67,4422,457959,4.57959E-4,511499
68,4556,393333,3.93333E-4,533604
69,4692,429833,4.29833E-4,557793
70,4830,466125,4.66125E-4,580594
71,4970,470333,4.70333E-4,606377
72,5112,452792,4.52792E-4,632852
73,5256,489875,4.89875E-4,659835
74,5402,423792,4.23792E-4,685533
75,5550,437750,4.3775E-4,711180
76,5700,515666,5.15666E-4,743238
77,5852,528542,5.28542E-4,772433
78,6006,612833,6.12833E-4,811852
79,6162,588292,5.88292E-4,849615
80,6320,556792,5.56792E-4,885451
81,6480,519917,5.19917E-4,918280
82,6642,648708,6.48708E-4,959485
83,6806,686625,6.86625E-4,1002744
84,6972,492875,4.92875E-4,1033234
85,7140,647750,6.4775E-4,1075695
86,7310,627333,6.27333E-4,1115558
87,7482,540250,5.4025E-4,1149869
88,7656,601500,6.015E-4,1188505
89,7832,626291,6.26291E-4,1226896
90,8010,668750,6.6875E-4,1267430
91,8190,669708,6.69708E-4,1308839
92,8372,794709,7.94709E-4,1359081
93,8556,731542,7.31542E-4,1404178
94,8742,713917,7.13917E-4,1443863
95,8930,704708,7.04708E-4,1485558
96,9120,828083,8.28083E-4,1534845
97,9312,958500,9.585E-4,1593870
98,9506,895084,8.95084E-4,1649565
99,9702,946708,9.46708E-4,1707548
100,9900,762042,7.62042E-4,1753829
101,10100,884416,8.84416E-4,1808072
102,10302,872375,8.72375E-4,1865841
103,10506,918000,9.18E-4,1922236
104,10712,751208,7.51208E-4,1966237
105,10920,733042,7.33042E-4,2010258
106,11130,1052958,0.001052958,2075746
107,11342,752417,7.52417E-4,2123945
108,11556,879583,8.79583E-4,2177151
109,11772,1283917,0.001283917,2257114
110,11990,1037375,0.001037375,2325172
