Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count



4,12,615956,6.15956E-4,11
5,20,217302,2.17302E-4,20
6,30,308102,3.08102E-4,23
7,42,352733,3.52733E-4,28
8,56,409108,4.09108E-4,38
9,72,456207,4.56207E-4,39
10,90,644451,6.44451E-4,47
11,110,461243,4.61243E-4,50
12,132,465046,4.65046E-4,58
13,156,556421,5.56421E-4,58
14,182,679314,6.79314E-4,68
15,210,630384,6.30384E-4,83
16,240,568477,5.68477E-4,90
17,272,575533,5.75533E-4,110
18,306,748405,7.48405E-4,135
19,342,887646,8.87646E-4,136
20,380,826577,8.26577E-4,136
21,420,965205,9.65205E-4,176
22,462,1049127,0.001049127,172
23,506,1223980,0.00122398,180
24,552,1359029,0.001359029,175
25,600,1017976,0.001017976,192
26,650,1040414,0.001040414,237
27,702,1184176,0.001184176,213
28,756,1461186,0.001461186,216
29,812,1416156,0.001416156,254
30,870,1434721,0.001434721,239
31,930,1486724,0.001486724,275
32,992,1819297,0.001819297,294
33,1056,2000867,0.002000867,335
34,1122,2006447,0.002006447,396
35,1190,2151420,0.00215142,359
36,1260,2308881,0.002308881,382
37,1332,2504738,0.002504738,395
38,1406,5869788,0.005869788,443
39,1482,3419488,0.003419488,446
40,1560,5294346,0.005294346,416
41,1640,5232610,0.00523261,518
42,1722,4616036,0.004616036,532
43,1806,4711384,0.004711384,553
44,1892,5164330,0.00516433,477
45,1980,5587830,0.00558783,611
46,2070,6103708,0.006103708,665
47,2162,6895636,0.006895636,565
48,2256,7059637,0.007059637,670
49,2352,7305649,0.007305649,626
50,2450,7952607,0.007952607,720
51,2550,8713908,0.008713908,755
52,2652,9035777,0.009035777,740
53,2756,9103539,0.009103539,863
54,2862,11697369,0.011697369,724
55,2970,9826770,0.00982677,880
56,3080,11385610,0.01138561,876
57,3192,15214834,0.015214834,895
58,3306,17355818,0.017355818,1037
59,3422,17667266,0.017667266,948
60,3540,25669236,0.025669236,941
61,3660,22151893,0.022151893,988
62,3782,19740332,0.019740332,1150
63,3906,19799752,0.019799752,1167
64,4032,22113463,0.022113463,1082
65,4160,20789361,0.020789361,1132
66,4290,19834184,0.019834184,1168
67,4422,20793269,0.020793269,1199
68,4556,21478785,0.021478785,1337
69,4692,23443277,0.023443277,1309
70,4830,28389814,0.028389814,1427
71,4970,27090325,0.027090325,1519
72,5112,30300146,0.030300146,1589
73,5256,31960593,0.031960593,1699
74,5402,33582186,0.033582186,1467
75,5550,36708215,0.036708215,1546
76,5700,38941644,0.038941644,1681
77,5852,44290594,0.044290594,1898
78,6006,50548376,0.050548376,1761
79,6162,53311881,0.053311881,1607
80,6320,60648405,0.060648405,1734
81,6480,68299328,0.068299328,1772
82,6642,58287002,0.058287002,1841
83,6806,62522174,0.062522174,1885
84,6972,62541233,0.062541233,2107
85,7140,63376814,0.063376814,1939
86,7310,64638997,0.064638997,1959
87,7482,65076004,0.065076004,2002
88,7656,77721213,0.077721213,2442
89,7832,70579361,0.070579361,2291
90,8010,70815978,0.070815978,2347
91,8190,96259737,0.096259737,2363
92,8372,84903736,0.084903736,2494
93,8556,91823057,0.091823057,2719
94,8742,85557404,0.085557404,2949
