Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count



4,3,565020,5.6502E-4,12
5,4,76217,7.6217E-5,15
6,5,85875,8.5875E-5,19
7,6,96727,9.6727E-5,20
8,7,115755,1.15755E-4,31
9,8,106519,1.06519E-4,32
10,9,125711,1.25711E-4,45
11,10,113161,1.13161E-4,40
12,11,145042,1.45042E-4,56
13,12,146593,1.46593E-4,63
14,13,210876,2.10876E-4,66
15,14,511799,5.11799E-4,63
16,15,106040,1.0604E-4,73
17,16,127419,1.27419E-4,82
18,17,164646,1.64646E-4,100
19,18,132928,1.32928E-4,88
20,19,147341,1.47341E-4,106
21,20,152746,1.52746E-4,130
22,21,135192,1.35192E-4,93
23,22,151735,1.51735E-4,133
24,23,185877,1.85877E-4,118
25,24,187480,1.8748E-4,159
26,25,174849,1.74849E-4,140
27,26,176878,1.76878E-4,153
28,27,208059,2.08059E-4,144
29,28,218231,2.18231E-4,173
30,29,209097,2.09097E-4,153
31,30,316444,3.16444E-4,184
32,31,336222,3.36222E-4,217
33,32,300874,3.00874E-4,165
34,33,321897,3.21897E-4,279
35,34,337823,3.37823E-4,187
36,35,507642,5.07642E-4,193
37,36,503671,5.03671E-4,268
38,37,397668,3.97668E-4,246
39,38,357904,3.57904E-4,208
40,39,452951,4.52951E-4,235
41,40,512782,5.12782E-4,297
42,41,516766,5.16766E-4,220
43,42,441870,4.4187E-4,257
44,43,570811,5.70811E-4,300
45,44,733470,7.3347E-4,267
46,45,857785,8.57785E-4,299
47,46,1103240,0.00110324,289
48,47,877812,8.77812E-4,274
49,48,703745,7.03745E-4,322
50,49,783426,7.83426E-4,396
51,50,1131798,0.001131798,305
52,51,870976,8.70976E-4,410
53,52,3634393,0.003634393,331
54,53,1306472,0.001306472,367
55,54,932011,9.32011E-4,376
56,55,4308954,0.004308954,339
57,56,3116042,0.003116042,341
58,57,3248347,0.003248347,541
59,58,4097689,0.004097689,522
60,59,3047529,0.003047529,410
61,60,6724500,0.0067245,537
62,61,1022916,0.001022916,454
63,62,510845,5.10845E-4,361
64,63,755409,7.55409E-4,418
65,64,702812,7.02812E-4,523
66,65,955857,9.55857E-4,501
67,66,749280,7.4928E-4,471
68,67,1378845,0.001378845,629
69,68,919327,9.19327E-4,609
70,69,1308913,0.001308913,533
71,70,1266939,0.001266939,513
72,71,1362240,0.00136224,651
73,72,1742813,0.001742813,463
74,73,1051540,0.00105154,641
75,74,1016528,0.001016528,503
76,75,1371253,0.001371253,633
77,76,1436251,0.001436251,664
78,77,3804563,0.003804563,454
79,78,1469398,0.001469398,561
80,79,2123833,0.002123833,667
81,80,1470081,0.001470081,538
82,81,2216070,0.00221607,626
83,82,1354814,0.001354814,647
84,83,1373258,0.001373258,579
85,84,1182924,0.001182924,727
86,85,1989034,0.001989034,771
87,86,4478016,0.004478016,682
88,87,1652274,0.001652274,957
89,88,1539003,0.001539003,705
90,89,1783326,0.001783326,794
91,90,2987326,0.002987326,881
92,91,2329154,0.002329154,735
93,92,2052390,0.00205239,928
94,93,1980721,0.001980721,825
95,94,2342009,0.002342009,788
96,95,1972380,0.00197238,928
97,96,4716429,0.004716429,780
98,97,2447244,0.002447244,801
