Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count


4,6,771294,7.71294E-4,10
5,10,166526,1.66526E-4,16
6,15,222617,2.22617E-4,19
7,21,228255,2.28255E-4,28
8,28,256614,2.56614E-4,32
9,36,325428,3.25428E-4,50
10,45,366077,3.66077E-4,51
11,55,380905,3.80905E-4,48
12,66,434459,4.34459E-4,59
13,78,417580,4.1758E-4,57
14,91,367794,3.67794E-4,71
15,105,460746,4.60746E-4,81
16,120,483293,4.83293E-4,74
17,136,509266,5.09266E-4,86
18,153,469476,4.69476E-4,107
19,171,598519,5.98519E-4,125
20,190,746423,7.46423E-4,131
21,210,934571,9.34571E-4,148
22,231,743774,7.43774E-4,145
23,253,885986,8.85986E-4,137
24,276,1104978,0.001104978,180
25,300,1223500,0.0012235,158
26,325,1390931,0.001390931,211
27,351,1676775,0.001676775,206
28,378,2054963,0.002054963,213
29,406,2721794,0.002721794,240
30,435,3860823,0.003860823,236
31,465,2763173,0.002763173,265
32,496,2234673,0.002234673,235
33,528,1304927,0.001304927,284
34,561,2068257,0.002068257,276
35,595,1436289,0.001436289,269
36,630,1609019,0.001609019,324
37,666,1937371,0.001937371,348
38,703,1902272,0.001902272,380
39,741,1918281,0.001918281,337
40,780,2640696,0.002640696,395
41,820,2519299,0.002519299,382
42,861,2746800,0.0027468,442
43,903,2988307,0.002988307,464
44,946,3177216,0.003177216,454
45,990,3991465,0.003991465,450
46,1035,3743937,0.003743937,526
47,1081,7071991,0.007071991,502
48,1128,5496199,0.005496199,532
49,1176,7332086,0.007332086,547
50,1225,6070425,0.006070425,582
51,1275,6142976,0.006142976,575
52,1326,6736064,0.006736064,641
53,1378,9898687,0.009898687,593
54,1431,8456149,0.008456149,753
55,1485,9403570,0.00940357,641
56,1540,8291245,0.008291245,725
57,1596,10793397,0.010793397,817
58,1653,10698776,0.010698776,827
59,1711,10963061,0.010963061,961
60,1770,12423559,0.012423559,806
61,1830,14929663,0.014929663,754
62,1891,12945636,0.012945636,896
63,1953,12888009,0.012888009,860
64,2016,14245652,0.014245652,1079
65,2080,21580709,0.021580709,1009
66,2145,17611042,0.017611042,1136
67,2211,18858927,0.018858927,1055
68,2278,21006817,0.021006817,1200
69,2346,20570409,0.020570409,1096
70,2415,20526972,0.020526972,1170
71,2485,21339941,0.021339941,1071
72,2556,22604965,0.022604965,1186
73,2628,22864693,0.022864693,1268
74,2701,27149629,0.027149629,1261
75,2775,30767160,0.03076716,1353
76,2850,32453343,0.032453343,1482
77,2926,32428724,0.032428724,1335
78,3003,31618927,0.031618927,1599
79,3081,27688152,0.027688152,1548
80,3160,30212971,0.030212971,1563
81,3240,31835636,0.031835636,1498
82,3321,35076723,0.035076723,1728
83,3403,39984090,0.03998409,1559
84,3486,42568803,0.042568803,1644
85,3570,43781705,0.043781705,1680
86,3655,48525827,0.048525827,1726
87,3741,48497551,0.048497551,1779
88,3828,51087390,0.05108739,1870
89,3916,51782097,0.051782097,1767
90,4005,54655179,0.054655179,2067
91,4095,55561733,0.055561733,2271
92,4186,57726775,0.057726775,2019
93,4278,62763735,0.062763735,2098
94,4371,60665389,0.060665389,2190
95,4465,63742594,0.063742594,2110
